Element,LOCALITY,STATE,TOPOSHEET,LATITUDE,LONGITUDE,COMMODITY,HOSTROCK,MORPHOGENESIS,FORMATION,METALLOGENESIS,LATDD,LONDD
Iron,NARAYANPURA,KARNATAKA,57 A,15 30 N,76 45 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",BEDDED-VOLCANOSEDIMENTARY,DHARWAR(SANDUR SCH.),SANDUR-UBBALAGUNDI RANGE,15.5,76.75
Iron,AJJUR,TAMILNADU,58 A,11 26N,76 48E,Iron,BMQ,CONCORDANT,GRANULITE,SATYAMANGALAM-AJJUR(GRANULITE) BELT,11.433333333333334,76.8
Iron,DEVALA,TAMILNADU,58 A,11 28N,76 38E,Iron,BMQ IN CHARNOCKITE,CONCORDANT,GRANULITE,SATYAMANGALAM-AJJUR(GRANULITE) BELT,11.466666666666669,76.63333333333334
Iron,SATYAMANGALAM,TAMILNADU,58 E,11 25 11 28N,77 05 77 15E,Iron,PYROXENITE-DUNITE-AMPHIBOLITE,CONCORDANT,SATYAMANGALAM SCHIST,SATYAMANGLAM-AJJUR BELT,,
Iron,DONI,KARNATAKA,48 I,15 18 N,74 44 E,Iron,"BHQ,METAPELITE,METAVOLCANICS",VOLCANOSEDIMENTARY-BEDDED,DHARWAR Sgp.,SHIMOGA BELT,15.3,74.73333333333333
Iron,KOTEBARA,KARNATAKA,48 K,13 53 N,74 49 E,Iron,"METAPELITE,METAVOLCANICS,BFQ",VOLCANOSEDIMENTARY-BEDDED,DHARWAR,SHIMOGA BELT,13.883333333333333,74.81666666666666
Iron,JAYAPURA,KARNATAKA,48 O,13 21 13 30N,75 22 75 25E,Iron,BMQ IN METAVOLCANICS - METASEDIMENTS,CONCORDANT,CHITRADURGA BELT Gp.,SHIMOGA SCHIST BELT,,
Iron,BALLALAYAYANADURG,KARNATAKA,48 O,13 07 22N,75 21 26E,Iron,METASEDIMENTS-METAVOLCANICS,CONCORDANT,BABABUDAN Gp.,WESTERN GHAT BELT,13.122777777777776,75.35722222222222
Iron,KUDERMUKH,KARNATAKA,48 O,13 17N,75 10 75 20E,Iron,BMQ IN METASEDIMENTS- METAVOLCANICS,CONCORDANT,BABABUDAN Gp.,WESTERN GHAT BELT,13.283333333333331,
Iron,SURJAGARH,MAHARASTRA,65 A,19 37 N,80 21 E,Iron,"BMQ,QUARTZITE,PHYLLITE",BEDDED,BAILADILA Gp.,WURRYA HILL RANGE,19.616666666666667,80.35
Lead-Zinc,KAREMPUDI,ANDHRA PRADESH,56 P,16 23 30 N,79 40 24 E,Lead-Zinc,DOLOMITE,ENECHELON LODE-STRATABOUND-SEDIMENTARY,CUMBUM(NALLAMALAI),AGNIGUNDLA BELT,16.391666666666666,79.67333333333333
Lead-Zinc,GHUGRA-KAYAR,RAJASTHAN,45 J,26 31 26 32N,74 40 74 41E,Lead-Zinc,"DOLOMITE,QTZT,QTZ-BIO SCHIST",SHMS-CARBONATE HOSTED,DELHI SUPERGROUP,GHUGRA-KAYAR BELT,,
Lead-Zinc,BELBATHAN,JHARKHAND,72 P,24 43N,87 18E,Lead-Zinc,TALC-TREMOLITE SCHIST,DISCORDANT VEINS,ENCLAVES IN CHOTANAGPUR GNEISSIC COMPLEX,HESATHU-BELBATHAN BELT,24.716666666666665,87.3
Lead-Zinc,HESATU,JHARKHAND,73 I,23 59N,86 01E,Lead-Zinc,TALC-TREMOLITE SCHIST & GRANULITE,DISCORDANT-HYDROTHERMAL VEINS,ENCLAVES IN CHOTANAGPUR GNEISSIC COMPLEX,HESATHU-BELBATHAN BELT,23.98333333333333,86.01666666666667
Lead-Zinc,GADERIAKHERA,RAJASTHAN,45 K,25 26 25 28N,74 38 74 40E,Lead-Zinc,"AMPHIBOLITE,CALCSCHIST,Fe(MAgnetite) ROCK",STRATABOUND-DISSEMINATION,BHILWARA Sgp.,PUR BANERA BELT(EASTERN ZONE),,
Lead-Zinc,KHERJI-KHERA,RAJASTHAN,45 K,25 07N,74 23E,Lead-Zinc,"DOLOMITE,SCHIST AND QUARTZITE",STRATABOUND-CONCORDANT(THIN BANDS),BHILWARA Sgp.,PUR-BANERA BELT,25.116666666666667,74.38333333333334
Lead-Zinc,MALIKHERA,RAJASTHAN,45 K,25 27N,74 37E,Lead-Zinc,"QTZ.-BIO.-MUS.SCHIST,AMPH.-MAG.SCHIST",STRATABOUND CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT,25.45,74.61666666666666
Lead-Zinc,DEVPURA-BANERA,RAJASTHAN,45 K,25 27N,74 38E,Lead-Zinc,SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT (EASTERN ZONE),25.45,74.63333333333334
Lead-Zinc,DEVPURA-RANNINGPURA,RAJASTHAN,45 K,25 27N,74 38E,Lead-Zinc,QUARTZ-AMPHIBOLE-Fe(MAgnetite) GNEISS,STRATABOUND-CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT(EASTERN ZONE),25.45,74.63333333333334
Lead-Zinc,MALIKHERA,RAJASTHAN,45 K,25 27N,74 37E,Lead-Zinc,"GAR-BIO.SCHIST,MARBLE,Fe(MAgnetite) ROCK",STRATABOUND-CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT(EASTERN ZONE),25.45,74.61666666666666
Lead-Zinc,TIRANGA,RAJASTHAN,45 K,25 19N,74 32E,Lead-Zinc,SCHIST AND AMPHIBOLITE,STRATABOUND-CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT(EASTERN ZONE),25.316666666666663,74.53333333333333
Lead-Zinc,SAMODI,RAJASTHAN,45 K,25 21N,74 33E,Lead-Zinc,"Qtz.-Bio.SCHIST,CALC SCHIST,Fe(MAgnetite)",STRATABOUND-CONCORDANT,BHILWARA Sgp.,PUR-BANERA BELT(EASTERN ZONE),25.35,74.55
Lead-Zinc,BETHUMNI,RAJASTHAN,45 K,25 04N,74 11E,Lead-Zinc,DOLOMITE,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.,RAJPURA-DARIBA-BETHUMNI BELT,25.066666666666663,74.18333333333334
Lead-Zinc,DARIBA-RAJPURA,RAJASTHAN,45 L,24 57 24 58N,74 08E,Lead-Zinc,DOLOMITE AND GRAPHITE SCHIST,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.,RAJPURA-DARIBA-BETHUMNI BELT,,74.13333333333334
Lead-Zinc,SINDESWARKALAN,RAJASTHAN,45 K,25 02N,74 09E,Lead-Zinc,DOLOMITE AND GRAPHITE SCHIST,SHEET LIKE/LENSOID STRATABOUND-CONCORDANT,BHILWARA Sgp.,RAJPURA-DARIBA-BETHUMNI BELT,25.03333333333333,74.15
